time_ms,temp1_c,temp2_c
1177,23.69,23.75
2287,23.69,23.75
3397,23.69,23.75
4508,23.69,23.75
5618,23.69,23.75
6729,23.75,23.75
7840,23.75,23.75
8950,23.75,23.81
10060,23.81,23.81
11171,23.87,23.87
12281,23.94,23.87
13392,24.06,24.00
14502,24.19,24.06
15612,24.31,24.19
16723,24.50,24.25
17833,24.75,24.44
18944,24.94,24.62
20054,25.19,24.75
21165,25.44,24.94
22275,25.69,25.12
23385,26.00,25.37
24495,26.31,25.62
25605,26.69,25.87
26715,27.00,26.12
27825,27.37,26.37
28934,27.69,26.62
30044,28.06,27.00
31154,28.50,27.25
32263,28.87,27.56
33373,29.25,27.87
34482,29.69,28.25
35592,30.06,28.56
36701,30.50,28.87
37810,30.94,29.25
38919,31.31,29.62
40028,31.75,29.94
41136,32.19,30.31
42245,32.63,30.69
43353,33.06,31.06
44462,33.50,31.44
45570,33.94,31.81
46678,34.38,32.19
47785,34.81,32.63
48893,35.19,33.00
50001,35.63,33.38
51109,36.06,33.75
52216,36.50,34.19
53324,36.94,34.56
54432,37.31,34.94
55540,37.75,35.31
56647,38.19,35.75
57755,38.63,36.13
58862,39.00,36.50
59970,39.44,36.88
61077,39.88,37.31
62184,40.31,37.75
63292,40.75,38.13
64399,41.13,38.56
65506,41.56,39.00
66613,42.00,39.38
67720,42.50,39.75
68827,42.94,40.19
69934,43.38,40.56
71041,43.81,41.06
72147,44.25,41.44
73254,44.75,41.81
74361,45.19,42.19
75468,45.63,42.63
76575,46.13,43.00
77682,46.56,43.44
78789,47.06,43.81
79895,47.50,44.25
81002,48.00,44.63
82108,48.44,45.06
83214,48.88,45.44
84320,49.38,45.75
85426,49.88,46.19
86532,50.31,46.56
87638,50.75,47.00
88743,51.25,47.38
89849,51.69,47.75
90955,52.19,48.19
92060,52.63,48.63
93166,53.06,49.00
94271,53.56,49.31
95377,54.00,49.69
96482,54.44,50.13
97588,54.88,50.50
98693,55.38,50.94
99798,55.81,51.31
100902,56.25,51.69
102007,56.69,52.06
103112,57.13,52.50
104217,57.63,52.88
105322,58.06,53.31
106427,58.50,53.69
107532,58.94,54.06
108637,59.38,54.44
109741,59.81,54.81
110845,60.31,55.19
111950,60.69,55.50
113054,61.13,55.81
