time_ms,temp1_c,temp2_c
1176,25.44,26.19
2286,25.44,26.25
3395,25.44,26.19
4505,25.44,26.19
5614,25.44,26.25
6724,25.44,26.25
7833,25.44,26.25
8943,25.50,26.25
10052,25.50,26.31
11162,25.56,26.37
12271,25.69,26.37
13381,25.75,26.50
14490,25.87,26.62
15599,26.06,26.75
16709,26.25,26.87
17818,26.44,27.06
18927,26.62,27.19
20037,26.87,27.37
21146,27.12,27.62
22254,27.44,27.81
23364,27.69,28.00
24472,28.00,28.25
25581,28.31,28.50
26690,28.69,28.75
27799,29.00,29.00
28907,29.37,29.31
30016,29.75,29.56
31125,30.12,29.87
32233,30.50,30.00
33341,30.87,30.19
34450,31.31,30.44
35557,31.69,30.81
36665,32.06,31.12
37773,32.50,31.44
38880,32.94,31.81
39988,33.31,32.19
41095,33.75,32.56
42203,34.19,32.88
43310,34.56,33.31
44418,35.00,33.69
45524,35.44,34.06
46631,35.81,34.44
47739,36.25,34.88
48846,36.69,35.25
49953,37.13,35.63
51060,37.50,36.00
52167,37.94,36.44
53274,38.38,36.81
54381,38.81,37.25
55488,39.19,37.63
56595,39.63,38.00
57701,40.06,38.44
58808,40.50,38.88
59915,40.94,39.25
61021,41.38,39.69
62128,41.81,40.06
63235,42.25,40.50
64342,42.69,40.94
65447,43.19,41.31
66554,43.63,41.75
67661,44.06,42.19
68768,44.50,42.56
69874,45.00,43.00
70980,45.44,43.38
72087,45.88,43.81
73193,46.38,44.19
74298,46.81,44.63
75404,47.25,45.06
76510,47.75,45.44
77616,48.19,45.81
78721,48.69,46.25
79826,49.13,46.63
80932,49.63,47.06
82037,50.06,47.50
83142,50.50,47.88
84247,51.00,48.25
85353,51.44,48.69
86458,51.88,49.13
87563,52.38,49.50
88668,52.81,49.88
89773,53.25,50.25
90876,53.75,50.69
91981,54.19,51.06
93086,54.63,51.44
94191,55.06,51.81
95295,55.56,52.25
96400,56.00,52.63
97504,56.44,53.06
98609,56.88,53.44
99713,57.31,53.81
100816,57.81,54.25
101921,58.25,54.63
103025,58.69,55.00
104129,59.13,55.44
105233,59.56,55.81
106337,60.00,56.13
107441,60.44,56.50
108545,60.88,56.88
109648,61.38,57.25
110752,61.81,57.63
111856,62.25,58.00
